District in Greater Cairo where you live,Which day of the week (phase I) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers"
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",18,0,34,33.3,8.4,0,2.4,6,0,0,0,0.6,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",4,98.384,22.07,0,5.67,0,1.73,3,0,0,0,0.6,"Gym, Mall",5.5,0,1.286459987,22.7,2.3,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",5,104.06,34.05,0,6.3,0,1.43,13,0,22.7,3.213,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",17,85.14,45.4,30.28,0,0,1.8,7,0,11.35,7.56,1.2,N/A,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",7,132.44,2,22.71,18.9,0,0.23,6,0,11.35,11.34,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",24,0,45.4,0,11.34,0,0.8,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",4,151.36,22.7,0,2.554,0,1.8,1.5,0,0,0,0.6,Cafe,2,0,0,0,0.46,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",4,37.84,22.7,15.14,5.67,0,0.6,3,0,0,0,0.6,mall,1,0,0,0,0,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Wednesday, October 25th 2023",3,0,11.35,0,7.56,0,0.46,8.5,0,22.7,7.56,0.6,Hanging out,5,0,3.78,0,0,0,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",3,189.2,22.7,0,0,0,0.6,7.5,0,22.7,42.58,1.8,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",17,0,56.75,0,22.68,0,1.3,7,0,11.35,3.78,0.1,0,0,0,0,0,0,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",20,0,79.45,83.27,45.36,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Ahrām , الأهرام","Wednesday, October 25th 2023",2.5,0,22.7,123.391,13.608,0,2.7,11,0,34.05,8.9208,1.9,Cafe,1,0,0,0,0.23,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",4,47.3,22.7,0,11.3,0,0.23,9,0,11.35,3.78,0,No other places,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, October 25th 2023",2,0,22.7,0,20.9,0,0.115,12,0,68.1,30.24,4,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",7,47.3,68.1,0,11.34,0,2.4,6,0,34.05,7.56,1.8,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, October 25th 2023",11,94.6,34.05,14.05,0,0,0.345,1,0,0,0,0,None,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, October 25th 2023",14,0,34.05,0,7.56,0,1,1.5,0,0,0,0.5,no other places,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, October 25th 2023",9.17,66.22,45.4,0,8.568,0,1.2,4.86,0,0,2.142,0.6,-,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",3,113.52,46.12,0,52.92,0,0.69,12,0,34.05,49.14,0.36,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",4,166.81,11.35,0,5.512,0,0.46,10,0,22.7,4.158,0.6,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",4,94.6,22.7,0,3.78,0,0,4,0,22.7,3.78,1.1,Hangning around,10,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",1.5,113.047,22.7,3.785,18.9,0,0.46,12.5,0,11.35,5.67,0.6,NA,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",20,20,34.05,0,5.67,0,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",12,142,22.7,0,11.34,0,0.6,9,0,22.7,11.34,2,Restaurant,3,0,3.78,11.35,0.6,0,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",16,56.8,34.1,90.8,5.68,0,0.23,8,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",7,15,3,0,6,0,0,4,0,0,0,0,No other place,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",13,113.52,22.7,0,22.68,0,2,7,0,11.35,11.34,0.6,training ,2,0,0,0,1,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",1.5,47.3,22.7,0,7.5,0,0.23,15,0,22.7,19.656,0.6,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",4,0,22.7,0,0.63,0,0.6,3,0,34.05,3.78,1.1,restaurent,4,0,0.63,11.35,1.5,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",2,0,11.35,0,9.261,0,0.23,15,0,11.35,5.67,0.6,0,0,0,0,0,0,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",17,132.44,34.05,0,34.02,0,2,7,0,0,0,1.2,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",10,94.6,102.15,15.14,11.34,0,0.46,6,0,34.05,3.78,0.4,0,0,0,0,0,0,30,0,0
AUC Dorm,"Sunday, October 22nd 2023",14,113.52,22.7,0,52.92,0,1.2,1.5,0,0,0,0.6,Club ,7,0,7.56,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",9,0,22.7,1.8925,1.827,0,0.1,14,0,22.7,2.142,1.1,0,0,0,0,0,0,0,0,0
AUC Dorm,"Monday, October 23rd 2023",9,208.12,45.4,0,37.8,0,2.5,6,0,11.35,5.67,0.6,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",18.5,45.72,79.46,0,2.268,0,0.76,5.5,0,0,0,0.3,no,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",17,104,22.7,0,11.5,0,1.8,7,0,0,0,0.23,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",5,0,34.05,45.42,11.34,0,0,13,0,68.1,11.34,0.23,0,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",1,0,11.35,0,3.78,0,0.3,23,9,22.7,3.78,1,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",20,47.3,34,8,11.7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",15,283.8,34.05,0,22.68,0,1.2,4,0,0,0,0.6,"5A, mall",5,0,3.78,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",17,100,23,90,11,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",12,56.76,45.4,0,15.12,0,0.23,7,0,11.35,3.78,0,cousins place ,5,0,3.78,22.7,0.83,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",19,0,11.35,57,26.5,0,1,5,0,0,0,0.2,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",4,94.6,56.75,0,37.8,0,1,13,0,11.35,37.8,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",17,15,3,0,5,0,6,7,0,5,7,8,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",6,0,22.7,0,37.8,0,1,10,0,33.9,37,0.6,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, October 25th 2023",7,189.2,34.05,0,15.12,0,0.69,6,0,11.35,3.78,0.6,i didn’t go to another place today ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",2,75.68,22.7,0,15.12,0,0.92,14,0,11.35,11.34,1.38,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",15,193,34.05,0,7.56,0,1.5,9,0,0,1.89,0.23,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",4,0,22.7,0,15.12,4,1.2,6,0,11.35,3.78,0.6,I went to the supermarket,2,0,3.78,11.35,0,15,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",16.5,368.94,34.05,0,17.199,0,1.32,7,0,45.4,2.205,0.83,0,0,0,0,0,0,30,0,0
"Az-Zamālik [Zamalek] , الزمالك","Wednesday, October 25th 2023",14,170.2,45.4,0,18.9,0,1,5.5,0,11.35,3.78,0.5,nail salon,2,0,0,11.35,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",18,0,90.8,0,52.92,0,2,3,0,11.35,7.56,0.6,hanging around ,3,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",16,0,56.75,0,26.46,0,1.8,8,0,11.35,1.89,0.6,0,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",13,66.22,22.7,0,5.67,0,0.92,7,0,0,0,0.46,Training,2.5,0,1.89,11.35,0.23,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",15.5,189.2,45.4,52.99,18.9,0,0.2,3,0,0,0,0,gym and Coiffeure ,5.5,66.22,3.78,0,0.8,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",20,141.9,68.1,0,22.68,0,1.8,4,0,0,0,0.6,0,0,0,0,0,0,15,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",24,132.44,56.75,0,18.9,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",24,122.98,56.75,0,7.56,0,1.8,0,0,0,0,0,0,0,0,0,0,0,15,0,0
AUC Dorm,"Wednesday, October 25th 2023",14.5,0,22.7,0,1.25,0,1.8,7.5,0,11.35,2.5,0.92,mall,2,0,1.25,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",2.5,0,22.7,0,11.34,0,0.6,13,0,34.05,19.9,1.66,no where,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",20,189.2,34.05,2.5,3.78,0,1,0,0,0,0,0,hanging out,6,0,0,0,0.3,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",18,94.6,79.45,0,18.9,0,2,6,0,22.7,3.78,0.6,———,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",4,0,22.6,0,11.34,0,0.6,8,0,11.35,11.34,2.86,no where,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",17,0,46,0,7.56,0,2,0,0,0,0,0,club,7,0,5.28,11.35,1.2,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",5,66.22,22.7,0,15.12,0,0.46,3,0,11.35,7.56,1.29,mall,1,0,3.78,11.35,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",14,141.9,34.05,0,79.38,0,1,6,0,0,22.68,0,hanging around,4,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",16,82.775,56.75,0,22.68,0,2.5,8,0,22.7,5.67,0,Club,2,0,0,0,1,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",13,0,45.4,0,7.56,0,0.23,3,0,0,1.89,0,Grandma's house,2,0,3.78,0,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",24,94.6,34.05,0,7.56,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 24th 2023",4.5,0,45.4,0,2.52,0,0.6,4,0,11.35,0.63,1.2,Friends home,4,0,0,0,0.6,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, October 25th 2023",6,94.6,34.05,0,1.89,0,1.2,1.5,0,11.35,0.63,1.2,No place,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",16,56.76,56.75,0,18.9,0,2,3,0,11.35,3.78,0.6,N/A,0,0,0,0,0,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",5,0,22.7,0,15.12,0,0.23,2,0,0,0,0.29,restaurent ,3,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",14,0,22.7,0,18,0,0.6,4.5,0,22.7,15.12,0.6,restaurant ,1,0,0,0,0.23,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",13,236.5,34.05,0,15.12,0,0.69,6,0,0,0,0.6,no place,0,0,0,0,0,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",13,236.5,56.75,36.588,6.489,0,0.325,11,0,0,0,0.75,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",20,0,45.4,0,18.9,0,1,4,0,11.35,7.56,1.2,N/A,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",16,141.9,34.06,0,18.9,0,0.6,4,0,0,3.78,1.2,center,4,0,7.56,0,0.6,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",10,141.9,34.05,0,5.67,0,0.46,9,0,11.35,0.945,0.3,5,3,0,1.89,0,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",8,94.6,34.05,227.1,15.12,0,1.8,4,0,0,0,0,Restaurant and gym,4,0,3.78,0,1.8,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",19,0,22.7,0,3.78,0,0.5,5,0,0,0,0.6,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",19,321.64,11.35,0,7.371,0,0.6,5,0,11.35,5.166,0,Non,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",20,47.4,34.05,0,11.38,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, October 25th 2023",11,93.96,68.1,0,13.041,0,1.2,1,0,0,0,0,Gym,2.5,0,1.575,0,1.2,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",14,0,45.4,0,7.56,0,1.5,6,0,11.35,3.78,1.5,Shopping mall,4,0,0,11.35,0.6,0,0,0
"Al-Jīzah [Giza] , الجيزة","Monday, October 23rd 2023",6,129,11.35,0,1.5,0,1.15,12,0,0,0,1.8,0,0,0,0,0,0,0,0,0
"Al-Jīzah [Giza] , الجيزة","Tuesday, October 24th 2023",15,175,22.7,0,5.67,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Jīzah [Giza] , الجيزة","Wednesday, October 25th 2023",4,118.25,0,0,1.24,0,0.69,14,0,0,0,2.4,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",20,141.9,34.05,0,3.15,0,1.8,2.5,0,0,0,0,Gym,1.5,0,1.89,0,0.6,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",15,151.36,22.7,0,8.82,0,3,9,0,11.35,8.19,0,None,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",15,31.218,56.75,9.084,18.522,0,4.2,9,0,11.35,3.402,0,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",16,189.2,45.4,15.14,18.9,0,1.5,8,0,22.7,11.34,0.6,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",10,75.68,11.35,0,3.78,0,0.5,12,0,22.7,3.78,0,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",9,113.52,68.1,0,6.426,0,1.2,8,0,11.35,1.071,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",6,0,56.75,0,3.78,0,1.2,10,0,0,1.89,1.2,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Thursday, October 26th 2023",10,283.8,1.135,79.485,1.2474,1,0.27278,3,0,3.632,2.0771,0.130002,Hanging around,1,0,1.63674,1.135,0.0383341,0,0,50.46919
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",8,141.9,11.35,30.28,11.34,0,0.29,4,0,0,1.89,0,Club and hanging out,6,0,3.78,11.35,0.6,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, October 25th 2023",8,331.1,45.4,75.7,15.12,0,1.75,5,0,11.35,3.78,0.6,hanging around,1,0,0,11.35,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",8,10,4,0,3,0,1.2,6,0,1,1,1.8,Training,1,0,1,0,0.6,0,0,0
"Al-Muqaṭṭam , المقطم","Monday, October 23rd 2023",9,113.52,45.4,0,26.46,0,3,7,0,11.35,3.78,1,0,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",5,0,34.05,0,7.56,0,0.46,4,0,11.35,7.56,0.6,hanging around & restaurant ,4,0,3.78,11.35,0.23,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Wednesday, October 25th 2023",19,94.6,79.45,3.875,18.9,0,2,4,0,45.4,7.56,0.6,None,0,0,0,0,0,15,0,0
"Al-Muqaṭṭam , المقطم","Tuesday, October 24th 2023",22,94.6,22.7,0,56.7,0,2.4,2,0,0,0,0,0,0,0,0,0,0,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",3.5,0,34.04,0,9.75,0,0.23,4.5,0,22.7,3.339,0.23,Hanging around,6.5,0,1.89,11.35,1.29,0,0,0
"Ash-Shurūq , الشروق","Wednesday, October 25th 2023",8,141.9,79.45,0,18.9,0,3,7,0,34.05,11.34,1.2,Gym,3,0,3.78,0,2,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",4.66,56.79,22.7,19.0256,9.513,0,0.46,10,0,11.35,3.89,0.95,0,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",17,47,11.35,0,3.78,0,0.235,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, October 26th 2023",6,94.6,33.09,0,34.02,0,2.4,5,0,22.7,8,1.4,-,0,0,0,0,0,0,0,0
"Al-Muqaṭṭam , المقطم","Wednesday, October 25th 2023",17,118.25,22.7,22.71,26.46,0,1.15,7,0,11.35,18.9,0.6,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",7,94.6,40.7,0,10,0,3,7,0,22.7,7,2.4,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",10,122.98,45.4,0,15.12,0,0.64,7,0,11.35,7.56,1.15,0,3,0,3.78,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",20,0,56.75,0,60.56,0,1.38,2,0,0,0,0.69,resteraunt ,2,0,3.78,0,0.64,0,0,0
AUC Dorm,"Monday, October 23rd 2023",21,0,22.7,30.28,7.56,0,0.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",23,85.14,34.05,0,22.68,0,0.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",17,9.46,34.05,0,18.9,0,1.5,4,0,0,0,0,n/a,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",13,0,22.7,0,7.56,0,0.4,1,0,11.35,3.78,1.89,gym / friend’s house,8,66.15,1.89,0,1,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",10,47.3,45.4,37.85,22.68,0,2,10,0,11.35,3.78,0.6,restaurant ,4,0,3.78,11.35,0,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",15,189.2,34.05,113.55,34.8,0.8,3,2.5,0,11.35,7.56,0.6,hanging around,3,0,3.78,11.35,1,15,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",11,283.8,22.7,0,30.24,0.6,2,3.75,0,0,0,1,hanging around ,2,0,0,0,1,15,0,0
"Al-Muqaṭṭam , المقطم","Sunday, October 22nd 2023",10,160.82,34.05,0,7.56,0,0.6,11,0,11.35,3.78,0.6,Family Member's House,3,0,0.63,0,0,0,0,0
"Al-Muqaṭṭam , المقطم","Monday, October 23rd 2023",14,141.9,34.05,22.68,15.12,0,0.23,7,0,11.35,3.78,0.6,Running Errands,3,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",9,122.98,45.4,0,7.56,0,2.3,8,0,22.7,3.78,1.2,club ,2,94.6,0,0,1.8,0,0,0
